Trace Width (Rx L mm),Trace Thickness (Rx L mm),Number of Turns (Rx L),Trace Width (Rx L+C mm),Trace Thickness (Rx L+C mm),Number of Turns (Rx L+C),Gap Between Segments (mm),Center Area Percentage,Capacitor Area Length (mm),Capacitor Area Width (mm),Rx Coil Area Length (mm),Rx Coil Area Width (mm),Tx Coil Area Length (mm),Tx Coil Area Width (mm),Final Mutual Inductance (nH)
0.11829149,0.61854684,34.76222,0.117858894,0.62192625,34.623444,0.6629015,0.14953165,5.002069,3.9912229,28.340153,22.618326,141.69493,113.09208,526.59894
0.14583892,0.4298532,36.238827,0.14561078,0.43142188,36.138847,0.29428625,0.15036342,5.0004644,3.9914515,28.339067,22.618473,141.69539,113.0932,21.082634
0.12712948,0.49365205,34.53022,0.12698421,0.49529928,34.46093,0.34388736,0.1501741,5.000721,3.9908047,28.339228,22.618786,141.69453,113.092636,42.051174
0.08996308,0.31435567,32.57917,0.0893332,0.3147152,32.287914,0.6868046,0.14938799,5.002244,3.9921398,28.339506,22.618448,141.69424,113.092575,328.0674
0.08689769,0.5681165,26.711794,0.08648007,0.5690404,26.54193,0.61310273,0.15010835,5.0006323,3.9910085,28.339401,22.618038,141.69502,113.09199,252.67741
0.0937199,0.38314015,44.501175,0.09318205,0.3847352,44.405514,0.38465738,0.14995116,5.0012655,3.9910352,28.339489,22.619257,141.69508,113.09288,92.292305
0.11874616,0.5157628,25.154993,0.11857957,0.51504666,25.06281,0.49607322,0.15053108,5.0010557,3.9906034,28.339273,22.618717,141.69563,113.091965,114.699646
0.11849223,0.08583637,64.04212,0.118251085,0.087706275,64.01154,0.17095786,0.1493603,5.0009775,3.9915054,28.339294,22.619205,141.69553,113.09343,84.49811
0.123791896,-0.06713817,33.06774,0.12354898,-0.067604065,32.889133,0.3904935,0.15017101,5.0010324,3.9922953,28.338173,22.618078,141.69608,113.09273,46.862297
0.11370731,0.62653995,37.34618,0.11335763,0.62925386,37.388435,0.5028333,0.14948009,5.001775,3.9913824,28.339514,22.61872,141.69528,113.09267,257.5762
0.1743743,0.39263818,37.343338,0.17435674,0.39489058,37.237522,0.37741336,0.1502885,5.0017567,3.99074,28.339413,22.619265,141.69492,113.093216,175.41423
0.08476755,0.69156176,42.657234,0.084582426,0.6926718,42.6958,0.3116363,0.14992924,5.0012417,3.991485,28.338608,22.618286,141.69542,113.09272,42.751797
0.11632291,0.35871217,18.681238,0.11586127,0.36057848,18.619583,0.6981741,0.14927413,5.000896,3.9917169,28.340237,22.618397,141.69449,113.09249,247.43323
0.14928794,0.34531334,15.547698,0.14905366,0.3474545,15.584671,0.6917389,0.15020598,5.001353,3.991719,28.339155,22.618467,141.69482,113.092674,302.84155
0.09288851,0.3439776,32.66483,0.09266174,0.34468803,32.540348,0.54130775,0.14973311,5.001379,3.9918392,28.33904,22.617668,141.6955,113.092224,172.26848
0.07724505,0.5451873,27.53256,0.076894395,0.5452643,27.406006,0.595901,0.1498969,5.001723,3.9917607,28.33926,22.61842,141.6958,113.09265,189.5848
0.08170901,0.47951317,31.882982,0.08150797,0.4805064,31.692608,0.50444573,0.14972565,5.0010343,3.9911869,28.338987,22.619099,141.69435,113.09241,90.24308
0.15332597,0.24332286,6.220727,0.15308608,0.24688901,5.966757,0.9769502,0.14960203,5.0004673,3.9923713,28.339516,22.618603,141.69511,113.091,643.96545
0.13499291,0.23580702,42.246845,0.13456178,0.2372537,42.162067,0.24801214,0.15022913,5.0018015,3.990854,28.339457,22.618382,141.69598,113.09124,55.387768
0.12777887,0.32172343,34.31667,0.1275342,0.32278708,34.34385,0.30038255,0.15077923,5.0015917,3.9909506,28.338951,22.61846,141.69536,113.09232,-4.9985285
0.0957692,0.4606553,56.147835,0.09543376,0.46192834,55.95834,0.16438253,0.15019757,5.0015798,3.9912853,28.33893,22.61883,141.69594,113.09201,-11.492082
0.07113829,0.60637635,46.15649,0.07103492,0.60769826,45.98545,0.29995623,0.15001693,5.0007534,3.9916992,28.338139,22.61824,141.6946,113.09231,56.802708
0.09913626,0.33001032,46.492516,0.098486505,0.3305506,46.349518,0.3504521,0.14995927,5.0011187,3.9916346,28.339287,22.618502,141.69528,113.09211,118.42231
0.09764386,0.6219389,26.757889,0.097587466,0.62354493,26.751421,0.56974345,0.14938864,5.0009723,3.9913204,28.339653,22.618805,141.69539,113.09253,246.52573
0.14689632,0.4325468,42.43372,0.14645788,0.43445995,42.21002,0.3277084,0.14989245,5.001128,3.9908152,28.339176,22.618917,141.6946,113.092125,167.15091
0.13253768,0.32644403,6.817803,0.13198549,0.3294913,6.7163258,0.98740333,0.14949493,5.001458,3.9919908,28.340408,22.61803,141.69475,113.09233,558.3228
0.09700457,0.36975753,26.467333,0.096743375,0.37098238,26.389784,0.54780513,0.14996547,5.0011144,3.9922051,28.338863,22.618555,141.69467,113.09273,165.67123
0.102202885,0.34002852,23.998274,0.102102935,0.34034213,23.898808,0.5874427,0.15007098,5.0012965,3.9921277,28.338339,22.61812,141.69492,113.09263,162.2571
0.09761401,0.17304662,44.306007,0.09734132,0.1747667,44.35336,0.2786941,0.15031505,5.0016136,3.9912646,28.339596,22.618073,141.6955,113.09205,-6.8216753
0.11659032,0.42319128,41.01585,0.11646283,0.4257576,41.012512,0.30064884,0.15004079,5.000574,3.9910703,28.339066,22.61908,141.69499,113.09261,40.998455
0.09199636,0.42271823,44.82524,0.09184267,0.42440313,44.83025,0.223279,0.15060328,5.001349,3.9908354,28.338934,22.618584,141.69514,113.09193,-16.571112
0.14864486,0.45183557,51.04057,0.14806612,0.4531142,50.95601,0.19820617,0.15110216,5.0020022,3.9900324,28.339273,22.618969,141.6951,113.09154,113.560844
0.07755548,0.14317808,42.423435,0.07705985,0.14276366,42.27102,0.3563042,0.1500474,5.0006227,3.9923437,28.339022,22.618376,141.69447,113.09266,12.166085
0.112123094,0.53341633,45.528442,0.111544505,0.53466755,45.438732,0.23924269,0.15076616,5.000786,3.9910324,28.339243,22.618855,141.6957,113.09198,19.533667
0.09470402,0.3371798,48.28472,0.09413637,0.33860597,48.21423,0.28391176,0.15019053,5.0006156,3.9918044,28.339186,22.618176,141.69635,113.092064,27.813305
0.078633435,0.30726197,29.222921,0.07830283,0.3073866,29.152561,0.4798232,0.1501961,5.0005517,3.9918718,28.338694,22.618662,141.6948,113.09313,41.125366
0.14779784,0.56125796,36.659172,0.14766467,0.56379986,36.640945,0.3570882,0.15002987,5.0014596,3.9913776,28.339268,22.618597,141.6947,113.09206,157.81685
0.15473343,0.5264517,-1.3184584,0.15432918,0.5295008,-1.273698,1.088458,0.14950827,5.0006332,3.9915216,28.340477,22.619463,141.69536,113.09224,653.2983
0.035393577,-0.09407298,27.13085,0.035091158,-0.094108604,27.157448,0.621277,0.15013412,5.0001864,3.992335,28.33887,22.617981,141.69518,113.092735,15.320706
0.06452146,0.29115707,43.372116,0.06411414,0.29207128,43.240402,0.46096423,0.14995301,5.000524,3.9916034,28.339066,22.618681,141.69543,113.092415,148.05722
0.099733464,0.52596587,47.65728,0.0994504,0.5270651,47.87227,0.21296999,0.15001862,5.0011916,3.9910336,28.339207,22.619247,141.69505,113.09323,-19.87707
0.13757442,0.37718466,28.88426,0.13726838,0.37753916,28.9483,0.40576223,0.1501199,5.001347,3.9916694,28.338577,22.61754,141.69524,113.09322,50.44781
0.13253619,0.5555112,45.912067,0.13244404,0.5576293,45.894005,0.27028278,0.14977342,5.001138,3.991067,28.339594,22.6191,141.69543,113.09242,128.58551
0.13817784,0.37829906,44.076195,0.13783944,0.37883326,43.99751,0.18505165,0.15069325,5.0007772,3.9916143,28.338379,22.618704,141.69543,113.09235,-13.940003
0.080755234,0.4809091,37.974976,0.08024225,0.48235604,37.85848,0.47782978,0.14985354,5.000645,3.991833,28.339437,22.618477,141.6954,113.09191,162.73326
0.098587096,0.56577027,29.387741,0.09828432,0.5659345,29.303513,0.4861369,0.14973605,5.000412,3.9916186,28.338667,22.617466,141.69551,113.09292,102.18106
0.067402884,0.63146013,39.803314,0.067024924,0.6329148,39.641098,0.44438285,0.14995228,5.0007052,3.9914615,28.339252,22.618788,141.69498,113.09263,122.31729
0.09315175,0.71962225,30.358507,0.092989124,0.7209804,30.216722,0.5151332,0.15008849,5.0005207,3.99151,28.3388,22.619085,141.695,113.09319,162.75154
0.09363986,0.3817957,37.070515,0.09312052,0.38242453,36.97081,0.3834125,0.15074688,5.000758,3.990684,28.33924,22.618153,141.69551,113.09178,36.07844
0.08443437,0.6262216,-0.2709145,0.08414987,0.6282957,-0.35377872,1.1563227,0.14945482,5.0012116,3.9923396,28.33978,22.618488,141.69476,113.092415,650.82117
0.119833045,0.64218116,45.28781,0.11933721,0.64298946,45.07955,0.32260838,0.14878973,5.000599,3.991199,28.33996,22.618301,141.6952,113.09265,110.30377
0.09777664,0.30088797,16.063961,0.09736608,0.3028405,15.919773,0.93512064,0.14924845,5.0007463,3.993055,28.339436,22.61789,141.69472,113.09241,558.7133
0.13803196,0.28732228,41.4366,0.13764024,0.28753105,41.335854,0.24167787,0.15073958,5.0007176,3.9908094,28.339,22.617699,141.69559,113.091805,-1.7990166
0.15815589,0.26837042,25.46711,0.15782243,0.26953182,25.37664,0.48749164,0.15024102,5.001982,3.991503,28.339363,22.617666,141.69557,113.09196,182.06935
0.12316728,0.73232174,-1.6311158,0.12261574,0.73433685,-1.6449769,1.19694,0.14924663,5.001476,3.9920046,28.340033,22.61885,141.69485,113.09272,712.3756
0.0659197,0.37211156,38.61975,0.0656315,0.3722951,38.367214,0.4258845,0.15003456,5.001155,3.9924042,28.338789,22.61768,141.69467,113.09259,38.970062
0.076408006,0.19404563,35.321938,0.07591416,0.1936299,35.192272,0.43802837,0.1500729,5.0009875,3.9915636,28.339045,22.618074,141.69473,113.0918,46.68616
0.08101507,0.42470542,21.727087,0.08093683,0.42615134,21.74907,0.5952445,0.14980043,5.0012264,3.9924548,28.339264,22.618528,141.69498,113.09268,129.20613
0.10943362,0.45442635,33.568226,0.10893659,0.45485714,33.419865,0.46483642,0.15033019,5.00082,3.9917216,28.33883,22.618803,141.69472,113.092735,137.87787
0.10973154,0.35044125,35.62133,0.10953049,0.3516327,35.630665,0.44670597,0.15029696,5.000927,3.9909842,28.338623,22.618023,141.6953,113.09244,158.15929
0.093774475,0.22738552,8.602818,0.09345467,0.22888857,8.471627,1.0273243,0.14942251,5.0010133,3.992649,28.339226,22.617563,141.69495,113.09236,518.49426
0.09133727,0.42099032,40.63961,0.091301285,0.42268094,40.64692,0.3179974,0.1498026,5.000782,3.9914763,28.338518,22.618301,141.69449,113.09318,-5.942464
0.1391867,0.41192758,79.54584,0.13866581,0.4147239,79.25404,-0.10520138,0.15043241,5.001215,3.9909961,28.338593,22.618723,141.69624,113.09225,35.68372
0.13860215,0.3937294,21.90131,0.1385297,0.39622056,21.721684,0.63454014,0.14944665,5.001294,3.9915378,28.339457,22.618761,141.69453,113.092094,291.89096
0.0932405,0.35367107,52.096016,0.092680484,0.3559154,51.992195,0.25423357,0.14973836,5.000374,3.9916708,28.339447,22.618208,141.69571,113.09209,38.78551
0.08662512,0.6458531,23.858683,0.0860326,0.64814436,23.625982,0.77814335,0.14899644,5.0005245,3.9919422,28.340027,22.617878,141.69395,113.091354,421.271
0.1294587,0.6963411,16.298641,0.12938006,0.6987935,16.229612,0.7221485,0.14972359,5.0013137,3.99128,28.339437,22.618855,141.69487,113.09274,357.0448
0.08633355,0.42317966,32.220016,0.08617879,0.42311347,32.37128,0.42474192,0.15019314,5.001281,3.9910085,28.338724,22.618883,141.69495,113.09307,21.799797
0.08940779,0.4959672,44.65795,0.088927016,0.49668303,44.472153,0.26446584,0.15024622,5.001301,3.9918861,28.338408,22.61827,141.69447,113.092285,23.96665
0.09679206,0.5073798,24.210615,0.096627444,0.50823295,24.108103,0.5671551,0.15004042,5.0011344,3.9915886,28.338606,22.617956,141.6951,113.0927,167.9618
0.16602989,0.60693437,33.50029,0.16564831,0.60917664,33.430218,0.45180967,0.14971156,5.0016646,3.9912815,28.339174,22.618668,141.69519,113.092415,253.19699
0.112286106,0.21851705,34.589718,0.11188826,0.21831158,34.7571,0.37651494,0.15058486,5.001213,3.9913895,28.338976,22.618242,141.69585,113.09265,28.524437
0.11483406,0.17272973,29.284676,0.11430332,0.17329763,29.198,0.47109327,0.15046485,5.001369,3.9924195,28.338852,22.617912,141.6952,113.09274,75.46933
0.09549767,0.562835,33.996677,0.09547175,0.56452405,34.02868,0.38150355,0.15009695,5.000743,3.9912841,28.338543,22.618334,141.69496,113.09288,71.08484
0.10246498,0.4321122,46.58627,0.1022101,0.43328205,46.52916,0.24498685,0.14999397,5.000845,3.9913805,28.338867,22.618113,141.69519,113.092354,11.470447
0.1251134,0.2367391,17.244179,0.124807484,0.23846829,17.242617,0.63314366,0.14992628,5.000634,3.9910915,28.339191,22.618422,141.69417,113.09275,192.84883
0.08288681,0.34722766,34.558167,0.082560055,0.34695756,34.541428,0.47372887,0.14951694,5.001021,3.992214,28.339178,22.618628,141.69527,113.092674,134.04553
0.121600375,0.28276896,34.336178,0.12120129,0.28417513,34.347668,0.38505465,0.15040456,5.0010324,3.990902,28.339771,22.618782,141.69499,113.09183,89.67094
0.1471231,0.50081724,29.291525,0.14666608,0.50447667,29.270676,0.52553123,0.14958842,5.0015216,3.990473,28.340487,22.618391,141.69516,113.09246,270.2944
0.10062271,0.5781895,27.338661,0.10043564,0.57856137,27.188828,0.51065916,0.14998613,5.00102,3.9914367,28.339193,22.618958,141.69489,113.09278,125.78006
0.08251147,0.35635576,44.928432,0.082151234,0.35836133,44.943027,0.313038,0.14960843,5.000791,3.9908388,28.33913,22.61864,141.69522,113.09322,-9.282593
0.10183786,0.21161246,31.05903,0.10137933,0.21372487,30.916147,0.52338797,0.15032262,5.0008426,3.9916024,28.339447,22.618208,141.6955,113.092094,141.89218
0.106170185,0.39648873,38.37584,0.1058507,0.39509082,38.249546,0.37150508,0.15052328,5.0007205,3.992119,28.337788,22.618269,141.69484,113.09226,95.065125
0.10126215,0.3418127,50.872208,0.10111062,0.34288675,50.928303,0.16293414,0.1500012,5.0016875,3.9911048,28.339195,22.618176,141.69475,113.092674,-45.756504
0.13927944,0.7176455,45.508633,0.13902625,0.7201391,45.526485,0.23094508,0.15015975,5.0016046,3.9904556,28.339527,22.619114,141.69493,113.0922,74.24055
0.12492231,0.6494317,30.61002,0.12451989,0.6520501,30.364986,0.6933992,0.1494279,5.001629,3.9922616,28.339684,22.619154,141.6945,113.09149,523.7979
0.0932562,0.38730982,52.791904,0.092600554,0.38791853,52.77499,0.2551283,0.14999402,5.0010653,3.99282,28.3394,22.618399,141.69524,113.092384,56.616497
0.07133369,0.2427604,26.919695,0.07122123,0.24229132,26.705471,0.67622197,0.14920074,5.001148,3.9926796,28.338821,22.61852,141.69418,113.093315,190.96939
0.12254426,0.47589695,20.898834,0.122241594,0.47791797,20.62776,0.74802387,0.14912559,5.0008807,3.9922035,28.339203,22.618124,141.6944,113.09203,434.29022
0.113317564,0.45032755,37.515842,0.11309797,0.4521697,37.583508,0.39829147,0.1502189,5.000984,3.9907303,28.3391,22.618086,141.6957,113.09267,109.59454
0.09988113,0.28473833,24.985247,0.09904884,0.2860433,24.581816,0.82531214,0.14989306,5.000974,3.992672,28.339792,22.618113,141.69514,113.09191,414.6461
0.12661266,0.520761,36.536343,0.12657952,0.52217704,36.56953,0.30376148,0.1500835,5.0014257,3.9914,28.338884,22.618637,141.69568,113.09243,22.442225
0.085790634,0.5881866,14.761525,0.08558166,0.5874131,14.911331,0.58444655,0.14982739,5.0012674,3.9917264,28.33925,22.61742,141.69524,113.09277,52.771507
0.11586024,0.4763343,35.061928,0.115559116,0.47819102,34.83155,0.5184312,0.14977056,5.0009117,3.9919438,28.339476,22.619028,141.6953,113.09207,249.01936
0.13028526,0.3709204,35.328686,0.13015467,0.37179163,35.199608,0.37915224,0.14983124,5.000245,3.9911935,28.33869,22.618843,141.69498,113.09296,80.31923
0.10151067,0.4071482,40.291855,0.10101996,0.4070606,40.13414,0.33432144,0.15006284,5.000931,3.991771,28.339443,22.618063,141.69528,113.091965,45.03458
0.070691764,0.3796873,38.892456,0.070131324,0.37949204,38.839138,0.41846278,0.1501394,5.0024395,3.9919546,28.339045,22.618774,141.69568,113.09297,23.093668
0.080035344,0.5969466,34.86634,0.07988804,0.59911823,34.928177,0.42143005,0.14957044,5.000577,3.992038,28.338667,22.618202,141.69513,113.09324,74.24515
0.13416092,0.28079426,32.708305,0.13357827,0.28079662,32.485443,0.34819007,0.15069301,5.001438,3.9912221,28.338724,22.617476,141.69553,113.09183,21.945332
0.083849676,0.46282396,51.57785,0.08305878,0.46401295,51.574333,0.31468803,0.1502762,5.0009985,3.9907584,28.33987,22.618923,141.69519,113.09211,78.37183
0.08537053,0.5033055,43.070374,0.08518581,0.5046871,43.056103,0.35715097,0.149363,5.001049,3.9912686,28.339798,22.6184,141.69519,113.092094,90.61605
0.12162258,0.1316829,11.225142,0.1209621,0.13368759,11.099785,0.95901597,0.1495604,5.001901,3.9922295,28.339964,22.61785,141.69534,113.09238,510.4169
0.11672359,0.46391293,53.040363,0.11618144,0.46378306,52.90607,0.20888957,0.15052707,5.001441,3.9913545,28.339338,22.618553,141.69464,113.09236,56.26241
0.07696758,0.21246102,36.98867,0.076321825,0.21280605,36.989872,0.5044622,0.14974271,5.001995,3.9919915,28.339361,22.618418,141.69586,113.09257,131.15889
0.08261178,0.58240885,42.546608,0.08230547,0.5821324,42.489292,0.39091712,0.14979029,5.001254,3.9914165,28.339394,22.619247,141.69548,113.09269,110.2112
0.115511544,0.35524502,28.610916,0.115684636,0.35635045,28.630726,0.44980997,0.14984754,5.0004654,3.991827,28.338701,22.618666,141.69405,113.09265,79.78655
0.07747757,0.52496487,30.730322,0.077517994,0.5256457,30.711304,0.5239368,0.14977257,5.0011783,3.9917045,28.338575,22.618992,141.6944,113.092804,120.23602
0.11957747,0.4029921,38.1039,0.11877853,0.40399307,37.89514,0.3731519,0.1504376,5.001353,3.9908416,28.33952,22.61823,141.69635,113.09176,79.1071
0.11381261,0.65378237,35.29758,0.113754146,0.65648675,35.049843,0.3971315,0.1500762,5.0011253,3.9911573,28.338694,22.618021,141.69423,113.09165,132.18573
0.105369754,0.43745562,6.8366904,0.10483056,0.43993077,6.682951,1.0353255,0.14929022,5.000933,3.9924228,28.340437,22.618896,141.69409,113.09142,561.96704
0.10844948,0.2898024,30.628798,0.10845811,0.2899783,30.482319,0.49126604,0.15005773,5.000535,3.9925103,28.337786,22.618399,141.69502,113.09307,135.27368
0.13284118,0.44401887,35.712254,0.13291739,0.44631055,35.648907,0.34104484,0.14992335,5.0018387,3.991118,28.338423,22.618784,141.69467,113.09345,58.082325
0.06967361,0.4865242,53.5958,0.069098584,0.4863293,53.47729,0.25531897,0.14991836,5.0008807,3.9916458,28.339102,22.619598,141.69508,113.09237,66.43212
0.057915535,0.3266496,43.410393,0.057306357,0.3270856,43.160793,0.54251754,0.14930728,5.0003076,3.992366,28.339832,22.618385,141.69499,113.091736,217.39183
0.119707614,0.6669845,33.09698,0.11949501,0.6690995,32.794044,0.45387116,0.14977764,5.0009656,3.9911287,28.338745,22.617905,141.6942,113.091324,215.87184
0.15631104,0.28300357,46.92908,0.15596904,0.28434086,46.701195,0.2134512,0.14973105,5.001159,3.9910216,28.338934,22.618374,141.69466,113.09222,41.481606
0.10519233,0.3813135,28.38788,0.104611464,0.38157907,28.437117,0.47957313,0.1502886,5.0010877,3.991875,28.338923,22.618273,141.69547,113.0929,93.39646
0.118360564,0.33729234,5.1284523,0.11814325,0.33991447,5.134746,0.9596536,0.14966503,5.0013266,3.992795,28.339252,22.618322,141.69373,113.09306,439.285
0.1021212,0.48858857,27.776434,0.10182287,0.49018064,27.713076,0.5813051,0.14928278,5.0005507,3.9914722,28.33932,22.617983,141.69524,113.09256,225.70651
0.08234543,0.68750095,31.476454,0.08224701,0.6877398,31.437428,0.4084449,0.14998582,5.001163,3.991311,28.338589,22.618841,141.6949,113.092674,57.94383
0.106243156,0.34290418,47.629654,0.10581356,0.34286922,47.495327,0.26142094,0.14997585,5.0007024,3.9918902,28.338594,22.618832,141.696,113.09307,52.21118
0.06378864,0.5077477,30.117405,0.063418515,0.50739443,29.932,0.5482497,0.14984709,5.000342,3.9919167,28.338991,22.618082,141.69537,113.09271,112.30625
0.09274482,0.17362997,42.817368,0.09231217,0.17478913,42.770546,0.3766678,0.14971486,5.0010395,3.991105,28.339487,22.618841,141.69608,113.092064,107.46059
0.0888796,0.23035228,32.935413,0.088880874,0.23109694,33.218723,0.40124738,0.149955,5.000285,3.9912653,28.339388,22.618551,141.69495,113.09312,-33.414734
0.10295304,0.8311817,-2.7246144,0.1028141,0.8334972,-2.7379293,1.1618603,0.14888962,5.0011115,3.9922578,28.34003,22.618269,141.69476,113.09249,721.022
0.090042636,0.29907435,35.17625,0.08950293,0.29947832,35.048668,0.48999393,0.15017512,5.000978,3.9915998,28.339169,22.61796,141.69505,113.09193,153.06035
0.06905683,0.61079985,36.247562,0.06891147,0.6123569,36.360645,0.45895675,0.14977139,5.000947,3.991507,28.33895,22.61908,141.69473,113.09309,51.82646
0.10527472,0.22407594,36.323307,0.10507447,0.22515981,36.261963,0.41854703,0.15020901,5.0010138,3.991602,28.33829,22.618553,141.69485,113.09305,75.81537
0.18412104,0.41020265,0.6997148,0.18379402,0.4134576,0.67517304,0.9586691,0.14984903,5.001544,3.9917655,28.33966,22.618286,141.69429,113.09228,594.9846
0.10968725,0.24885292,19.679127,0.10916361,0.24882805,19.597462,0.66969734,0.15015991,5.0013413,3.992673,28.338772,22.617945,141.6962,113.093254,211.03156
0.13653852,0.46427342,17.52749,0.13631758,0.46778724,17.412018,0.8217177,0.14917256,5.0012345,3.991964,28.339857,22.618082,141.69473,113.09253,522.298
0.052359033,0.3314942,43.69134,0.052123066,0.33061564,43.346813,0.32473138,0.14974685,5.000979,3.9919024,28.339108,22.619421,141.69476,113.09203,-48.435474
0.08722694,0.31365806,36.212566,0.08703803,0.31344852,36.04031,0.47568017,0.1493521,5.001004,3.9919276,28.339216,22.619606,141.69458,113.092995,101.244995
0.12467378,0.2011182,57.821968,0.124141596,0.2021985,57.61855,0.18086915,0.15067881,5.0012913,3.991331,28.33917,22.618387,141.69556,113.091064,70.98828
0.10875507,-0.11615398,44.667534,0.10794664,-0.116383344,44.36693,0.34813577,0.14992458,5.0020094,3.9922788,28.339386,22.618917,141.69531,113.09217,36.062637
0.10854013,0.39819056,35.678627,0.10809837,0.39929813,35.758064,0.39359906,0.1510312,5.0018363,3.9906945,28.33918,22.618404,141.69522,113.09194,92.244385
0.06161162,0.55573606,31.408491,0.06149106,0.55633354,31.416872,0.5052382,0.15002012,5.001312,3.9921255,28.338926,22.619144,141.69539,113.09281,113.93335
0.14667672,0.4913225,39.140484,0.1464025,0.49425364,39.029686,0.42272106,0.15003641,5.000975,3.991051,28.339525,22.618769,141.6947,113.092384,288.30112
0.09875435,0.57829493,38.721806,0.09909261,0.58082646,38.665054,0.30023298,0.15020528,5.001923,3.9906378,28.338089,22.618145,141.69449,113.09348,-37.16718
0.08906869,0.6162678,21.228188,0.088851474,0.6164841,21.194698,0.66914535,0.14952825,5.0011964,3.9917138,28.339085,22.618626,141.69528,113.093475,229.68494
0.098194554,0.80155647,30.606245,0.09797551,0.8027025,30.423393,0.51674795,0.14962843,5.001192,3.9919925,28.339258,22.61808,141.69476,113.09168,185.24217
0.0932188,0.51537544,32.41611,0.092897244,0.5179298,32.25844,0.593591,0.14925797,5.0004187,3.9916434,28.339409,22.618061,141.6952,113.09227,305.25458
0.0887898,0.041894156,31.891003,0.08838782,0.042528015,31.829147,0.5132017,0.14978266,5.0009766,3.992267,28.338993,22.61915,141.69547,113.09275,53.93248
